gvkey,year,uai,conm,keyword
1076,2012,0.327045,AARON'S INC,AARON'S INC
1161,2012,0.3202918,ADVANCED MICRO DEVICES,AMD
1230,2012,0.3446141,ALASKA AIR GROUP INC,ALASKA AIRLINES
1254,2012,0.3231008,MATSON INC,MATSON INC
1440,2012,0.3429077,AMERICAN ELECTRIC POWER CO,AMERICAN ELECTRIC POWER
1602,2012,0.4052198,AMGEN INC,AMGEN
1690,2012,0.333989,APPLE INC,APPLE
1891,2012,0.764623,AUTOMATIC DATA PROCESSING,ADP
1919,2012,0.7931667,AVNET INC,AVNET INC
1920,2012,0.3339687,AVON PRODUCTS,AVON PRODUCTS
1976,2012,0.3233418,BAKER HUGHES INC,BAKER HUGHES
2019,2012,0.3951546,BANK OF NEW YORK MELLON CORP,BANK OF NEW YORK MELLON
2101,2012,0.5892857,APPLIED INDUSTRIAL TECH INC,APPLIED INDUSTRIAL TECH
2111,2012,0.6731505,BECTON DICKINSON & CO,BECTON DICKINSON
2136,2012,0.3150536,VERIZON COMMUNICATIONS INC,VERIZON
2184,2012,0.6965227,BEST BUY CO INC,BEST BUY
2663,2012,0.3227268,CAMPBELL SOUP CO,CAMPBELL SOUP CO
2859,2012,0.3240106,CLECO CORP,CLECO corporations
3093,2012,0.3155068,CLARCOR INC,CLARCOR INDUSTRIAL AIR
3153,2012,0.5839229,COEUR MINING INC,COEUR MINING INC
3246,2012,0.7437906,COMMERCIAL METALS,COMMERCIAL METALS COMPANY
3570,2012,0.3290722,CRACKER BARREL OLD CTRY STOR,CRACKER BARREL OLD COUNTRY store
3761,2012,0.3459324,DATA I/O CORP,DATA I/O 
